team,season,total_snaps,yards_gained,touchdown,extra_point_attempt,field_goal_attempt,total_points,td_points,xp_points,fg_points,fumble,fumble_lost,shotgun,no_huddle,qb_dropback,pass_snaps_count,pass_snaps_pct,pass_attempts,complete_pass,incomplete_pass,air_yards,passing_yards,pass_td,interception,targets,receptions,receiving_yards,yards_after_catch,receiving_td,pass_fumble,pass_fumble_lost,rush_snaps_count,rush_snaps_pct,qb_scramble,rushing_yards,run_td,run_fumble,run_fumble_lost,home_wins,home_losses,home_ties,away_wins,away_losses,away_ties,wins,losses,ties,win_pct,record,yps
ATL,2019,1090,11140,42,29,32,377,252,29,96,16,8,633,97,761,739,0.68,666,459,207,5535,5049,32,15,666,459,5049,1899,32,12,6,351,0.32,22,1373,10,4,2,3,5,0,4,4,0,7,9,0,0.438,"	7-9-0",10.22
ATL,2020,1069,10529,40,34,38,388,240,34,114,14,7,577,85,687,671,0.63,616,408,208,5417,4620,27,11,616,408,4620,1644,27,9,4,398,0.37,16,1544,13,5,3,2,6,0,2,6,0,4,12,0,0.25,"	4-12-0",9.85
ATL,2021,998,9164,35,30,27,321,210,30,81,22,11,530,133,631,614,0.62,557,377,180,4143,3987,23,15,557,377,3988,1733,23,12,8,384,0.38,17,1461,11,10,3,2,6,0,5,4,0,7,10,0,0.412,"	7-10-0",9.18
ATL,2022,1000,8360,35,33,32,339,210,33,96,18,10,750,158,488,450,0.45,402,257,145,4033,2927,17,9,402,257,2927,1240,17,9,6,550,0.55,38,2728,17,9,4,6,3,0,1,7,0,7,10,0,0.412,"	7-10-0",8.36
ATL,2023,1083,9471,32,27,32,315,192,27,96,23,11,836,145,602,569,0.53,509,327,182,4344,3775,18,17,509,327,3775,1769,18,9,5,514,0.47,33,2168,14,14,6,5,3,0,2,7,0,7,10,0,0.412,"	7-10-0",8.75
BAL,2012,1029,9653,44,42,30,396,264,42,90,10,4,414,232,608,599,0.58,549,334,215,5498,3996,25,11,549,334,3996,1624,25,6,3,430,0.42,9,1916,17,4,1,6,2,0,4,4,0,10,6,0,0.625,"	10-6-0",9.38
BAL,2013,1084,8839,32,26,38,332,192,26,114,14,6,787,393,685,668,0.62,595,363,232,5781,3914,23,23,595,363,3908,1751,23,11,3,416,0.38,17,1335,8,3,3,6,2,0,2,6,0,8,8,0,0.5,"	8-8-0",8.15
BAL,2014,1001,9844,44,42,29,393,264,42,87,13,6,239,30,577,568,0.57,536,344,192,4623,3986,27,12,536,344,3986,1751,27,6,3,433,0.43,10,2037,16,7,3,6,2,0,4,4,0,10,6,0,0.625,"	10-6-0",9.83
BAL,2015,1079,10193,34,29,33,332,204,29,99,11,5,500,101,706,697,0.65,649,426,223,5083,4449,25,21,649,426,4439,2128,25,5,3,382,0.35,10,1481,9,6,2,3,5,0,2,6,0,5,11,0,0.313,"	5-11-0",9.45
BAL,2016,1064,9925,31,27,38,327,186,27,114,11,4,638,185,718,709,0.67,656,439,217,5042,4343,20,16,656,439,4343,2090,20,6,3,355,0.33,9,1476,10,5,1,6,2,0,2,6,0,8,8,0,0.5,"	8-8-0",9.33
